OrderID;CusomerID;EmployeeID;OrderDate;RequiredDate;ShippedDate;ShipVia;Freight;ShipName;ShipAddress;ShipCity;ShipRegion;ShipPostalCode;ShipCountry
10248;87;5;1996-07-04 12:07:00.0000000;1996-08-01 00:00:00.0000000;1996-07-16 00:00:00.0000000;3;32.38;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;NULL;51100;France
10249;81;6;1996-07-05 08:08:00.0000000;1996-08-16 00:00:00.0000000;1996-07-10 00:00:00.0000000;1;11.61;Toms Spezialitäten;Luisenstr. 48;Münster;NULL;44087;Germany
10250;34;4;1996-07-08 10:39:00.0000000;1996-08-05 00:00:00.0000000;1996-07-12 00:00:00.0000000;2;65.83;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brazil
10251;86;3;1996-07-08 10:47:00.0000000;1996-08-05 00:00:00.0000000;1996-07-15 00:00:00.0000000;1;41.34;Victuailles en stock;2, rue du Commerce;Lyon;NULL;69004;France
10252;78;4;1996-07-09 08:59:00.0000000;1996-08-06 00:00:00.0000000;1996-07-11 00:00:00.0000000;2;51.30;Suprêmes délices;Boulevard Tirou, 255;Charleroi;NULL;B-6000;Belgium
10253;34;3;1996-07-10 11:31:00.0000000;1996-07-24 00:00:00.0000000;1996-07-16 00:00:00.0000000;2;58.17;Hanari Carnes;Rua do Paço, 67;Rio de Janeiro;RJ;05454-876;Brazil
10254;14;5;1996-07-11 13:34:00.0000000;1996-08-08 00:00:00.0000000;1996-07-23 00:00:00.0000000;2;22.98;Chop-suey Chinese;Hauptstr. 31;Bern;NULL;3012;Switzerland
10255;70;9;1996-07-12 16:47:00.0000000;1996-08-09 00:00:00.0000000;1996-07-15 00:00:00.0000000;3;148.33;Richter Supermarkt;Starenweg 5;Genève;NULL;1204;Switzerland
10256;90;3;1996-07-15 14:35:00.0000000;1996-08-12 00:00:00.0000000;1996-07-17 00:00:00.0000000;2;13.97;Wellington Importadora;Rua do Mercado, 12;Resende;SP;08737-363;Brazil
10257;35;4;1996-07-16 13:06:00.0000000;1996-08-13 00:00:00.0000000;1996-07-22 00:00:00.0000000;3;81.91;HILARION-Abastos;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Táchira;5022;Venezuela
